20.1.1.5. A 15–74 éves népesség gazdasági aktivitása korcsoportok szerint, nemenként;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Korcsoport, éves;Foglalkoztatottak, ezer fõ, 2009;Munkanélküliek, ezer fõ, 2009;Gazdaságilag aktívak, ezer fõ, 2009;Gazdaságilag nem aktívak, ezer fõ, 2009;15–74 éves népesség, ezer fõ, 2009;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2009;Aktivitási arány, %, 2009;Munkanélküliségi ráta, %, 2009;Foglalkoztatási ráta, %, 2009;Foglalkoztatottak, ezer fõ, 2010;Munkanélküliek, ezer fõ, 2010;Gazdaságilag aktívak, ezer fõ, 2010;Gazdaságilag nem aktívak, ezer fõ, 2010;15–74 éves népesség, ezer fõ, 2010;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2010;Aktivitási arány, %, 2010;Munkanélküliségi ráta, %, 2010;Foglalkoztatási ráta, %, 2010;Foglalkoztatottak, ezer fõ, 2011;Munkanélküliek, ezer fõ, 2011;Gazdaságilag aktívak, ezer fõ, 2011;Gazdaságilag nem aktívak, ezer fõ, 2011;15–74 éves népesség, ezer fõ, 2011;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2011;Aktivitási arány, %, 2011;Munkanélküliségi ráta, %, 2011;Foglalkoztatási ráta, %, 2011;Foglalkoztatottak, ezer fõ, 2012;Munkanélküliek, ezer fõ, 2012;Gazdaságilag aktívak, ezer fõ, 2012;Gazdaságilag nem aktívak, ezer fõ, 2012;15–74 éves népesség, ezer fõ, 2012;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2012;Aktivitási arány, %, 2012;Munkanélküliségi ráta, %, 2012;Foglalkoztatási ráta, %, 2012;Foglalkoztatottak, ezer fõ, 2013;Munkanélküliek, ezer fõ, 2013;Gazdaságilag aktívak, ezer fõ, 2013;Gazdaságilag nem aktívak, ezer fõ, 2013;15–74 éves népesség, ezer fõ, 2013;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2013;Aktivitási arány, %, 2013;Munkanélküliségi ráta, %, 2013;Foglalkoztatási ráta, %, 2013;Foglalkoztatottak, ezer fõ, 2014;Munkanélküliek, ezer fõ, 2014;Gazdaságilag aktívak, ezer fõ, 2014;Gazdaságilag nem aktívak, ezer fõ, 2014;15–74 éves népesség, ezer fõ, 2014;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2014;Aktivitási arány, %, 2014;Munkanélküliségi ráta, %, 2014;Foglalkoztatási ráta, %, 2014;Foglalkoztatottak, ezer fõ, 2015;Munkanélküliek, ezer fõ, 2015;Gazdaságilag aktívak, ezer fõ, 2015;Gazdaságilag nem aktívak, ezer fõ, 2015;15–74 éves népesség, ezer fõ, 2015;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2015;Aktivitási arány, %, 2015;Munkanélküliségi ráta, %, 2015;Foglalkoztatási ráta, %, 2015;Foglalkoztatottak, ezer fõ, 2016;Munkanélküliek, ezer fõ, 2016;Gazdaságilag aktívak, ezer fõ, 2016;Gazdaságilag nem aktívak, ezer fõ, 2016;15–74 éves népesség, ezer fõ, 2016;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2016;Aktivitási arány, %, 2016;Munkanélküliségi ráta, %, 2016;Foglalkoztatási ráta, %, 2016;Foglalkoztatottak, ezer fõ, 2017;Munkanélküliek, ezer fõ, 2017;Gazdaságilag aktívak, ezer fõ, 2017;Gazdaságilag nem aktívak, ezer fõ, 2017;15–74 éves népesség, ezer fõ, 2017;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2017;Aktivitási arány, %, 2017;Munkanélküliségi ráta, %, 2017;Foglalkoztatási ráta, %, 2017;Foglalkoztatottak, ezer fõ, 2018;Munkanélküliek, ezer fõ, 2018;Gazdaságilag aktívak, ezer fõ, 2018;Gazdaságilag nem aktívak, ezer fõ, 2018;15–74 éves népesség, ezer fõ, 2018;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2018;Aktivitási arány, %, 2018;Munkanélküliségi ráta, %, 2018;Foglalkoztatási ráta, %, 2018;Foglalkoztatottak, ezer fõ, 2019;Munkanélküliek, ezer fõ, 2019;Gazdaságilag aktívak, ezer fõ, 2019;Gazdaságilag nem aktívak, ezer fõ, 2019;15–74 éves népesség, ezer fõ, 2019;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2019;Aktivitási arány, %, 2019;Munkanélküliségi ráta, %, 2019;Foglalkoztatási ráta, %, 2019;Foglalkoztatottak, ezer fõ, 2020;Munkanélküliek, ezer fõ, 2020;Gazdaságilag aktívak, ezer fõ, 2020;Gazdaságilag nem aktívak, ezer fõ, 2020;15–74 éves népesség, ezer fõ, 2020;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2020;Aktivitási arány, %, 2020;Munkanélküliségi ráta, %, 2020;Foglalkoztatási ráta, %, 2020;Foglalkoztatottak, ezer fõ, 2021;Munkanélküliek, ezer fõ, 2021;Gazdaságilag aktívak, ezer fõ, 2021;Gazdaságilag nem aktívak, ezer fõ, 2021;15–74 éves népesség, ezer fõ, 2021;Ebbõl: Potenciális munkaerõ-tartalék, ezer fõ, 2021;Aktivitási arány, %, 2021;Munkanélküliségi ráta, %, 2021;Foglalkoztatási ráta, %, 2021
60–64;77,2;2,8;80,1;524,7;604,8;11,2;13,2;3,5;12,8;78,5;3,6;82,1;540,8;622,9;14,3;13,2;4,3;12,6;88,9;5,1;94,0;546,9;640,9;15,7;14,7;5,4;13,9;90,0;6,0;96,1;555,2;651,3;19,4;14,8;6,3;13,8;103,0;7,2;110,2;552,4;662,6;23,9;16,6;6,6;15,5;133,0;11,0;143,9;541,0;684,9;29,8;21,0;7,6;19,4;179,9;14,3;194,2;514,0;708,2;31,4;27,4;7,4;25,4;231,8;13,6;245,4;475,0;720,5;28,2;34,1;5,6;32,2;252,8;11,9;264,8;454,5;719,3;26,6;36,8;4,5;35,2;267,9;8,1;276,0;425,2;701,2;20,2;39,4;2,9;38,2;277,8;6,1;283,9;382,5;666,4;18,1;42,6;2,1;41,7;285,6;8,1;293,7;332,4;626,2;19,9;46,9;2,8;45,6;282,1;7,6;289,7;300,3;590,0;20,7;49,1;2,6;47,8
65–69;24,1;...;24,4;483,4;507,9;3,4;4,8;...;4,7;24,9;...;24,9;486,6;511,5;2,4;4,9;...;4,9;26,9;...;27,1;488,0;515,0;2,8;5,3;...;5,2;27,2;...;28,2;490,5;518,7;4,4;5,4;...;5,3;26,0;...;26,7;502,5;529,2;5,5;5,0;...;4,9;23,0;...;23,7;516,9;540,6;5,1;4,4;...;4,3;25,6;...;26,5;530,1;556,5;4,5;4,8;...;4,6;30,5;...;31,1;549,3;580,4;3,1;5,4;...;5,3;34,6;...;34,8;558,6;593,4;4,5;5,9;...;5,8;41,5;...;41,8;560,5;602,3;4,9;6,9;...;6,9;56,3;...;57,2;564,8;622,0;5,1;9,2;...;9,1;63,5;1,3;64,9;578,8;643,6;6,4;10,1;2,1;9,9;76,2;2,4;78,7;572,7;651,4;7,1;12,1;3,1;11,7
70–74;6,4;...;6,4;408,2;414,6;0,4;1,5;...;1,5;6,2;...;6,3;408,8;415,1;0,7;1,5;...;1,5;7,9;...;8,0;407,8;415,8;0,9;1,9;...;1,9;7,2;...;7,3;415,7;422,9;0,7;1,7;...;1,7;6,7;...;6,9;426,8;433,7;2,2;1,6;...;1,6;7,9;...;7,9;437,0;444,9;0,9;1,8;...;1,8;9,1;...;9,1;441,9;451,0;2,4;2,0;...;2,0;11,8;...;11,9;437,3;449,2;1,7;2,7;...;2,6;13,4;...;13,4;438,4;451,8;1,3;3,0;...;3,0;17,3;...;17,4;443,0;460,4;2,0;3,8;...;3,8;19,8;...;20,0;449,9;469,9;1,7;4,3;...;4,2;21,1;0,2;21,3;463,5;484,8;1,9;4,4;0,8;4,4;22,9;0,7;23,6;477,4;501,0;2,6;4,7;2,8;4,6
Összesen;3 894,5;417,4;4 311,9;3 364,3;7 676,2;674,4;56,2;9,7;50,7;3 873,8;469,1;4 342,9;3 319,8;7 662,7;738,2;56,7;10,8;50,6;3 903,0;465,4;4 368,4;3 280,9;7 649,3;763,4;57,1;10,7;51,0;3 958,7;472,8;4 431,5;3 204,3;7 635,8;790,3;58,0;10,7;51,8;4 029,3;440,2;4 469,5;3 140,2;7 609,7;765,2;58,7;9,8;52,9;4 222,6;342,9;4 565,5;3 007,8;7 573,2;621,2;60,3;7,5;55,8;4 335,1;307,7;4 642,8;2 895,2;7 537,9;533,8;61,6;6,6;57,5;4 482,2;234,5;4 716,7;2 790,9;7 507,5;419,0;62,8;5,0;59,7;4 548,4;191,6;4 739,9;2 720,4;7 460,4;357,4;63,5;4,0;61,0;4 606,4;171,8;4 778,2;2 654,0;7 432,2;315,4;64,3;3,6;62,0;4 644,6;158,9;4 803,5;2 615,6;7 419,0;298,9;64,7;3,3;62,6;4 603,2;197,6;4 800,8;2 607,9;7 408,7;379,8;64,8;4,1;62,1;4 634,6;195,7;4 830,2;2 528,9;7 359,1;356,3;65,6;4,1;63,0
15–24;226,3;78,8;305,0;904,1;1 209,1;114,2;25,2;25,8;18,7;224,2;78,2;302,4;892,1;1 194,5;111,1;25,3;25,9;18,8;218,4;74,5;292,9;887,3;1 180,2;112,5;24,8;25,4;18,5;219,9;84,6;304,6;863,5;1 168,1;124,7;26,1;27,8;18,8;236,3;83,5;319,8;828,3;1 148,1;128,7;27,9;26,1;20,6;269,1;67,6;336,7;786,3;1 123,0;104,7;30,0;20,1;24,0;286,5;58,9;345,4;752,9;1 098,3;89,7;31,4;17,0;26,1;307,0;44,7;351,7;719,1;1 070,9;74,2;32,8;12,7;28,7;309,6;36,3;345,9;698,7;1 044,6;63,8;33,1;10,5;29,6;307,2;33,6;340,8;684,7;1 025,6;55,4;33,2;9,9;30,0;293,5;37,1;330,6;679,3;1 009,9;62,5;32,7;11,2;29,1;278,2;39,6;317,9;677,6;995,5;69,1;31,9;12,5;28,0;270,3;42,1;312,4;670,8;983,2;68,6;31,8;13,5;27,5
15–64;3 864,0;417,1;4 281,1;2 472,7;6 753,8;670,6;63,4;9,7;57,2;3 842,7;468,9;4 311,6;2 424,4;6 736,0;735,1;64,0;10,9;57,0;3 868,2;465,2;4 333,4;2 385,1;6 718,5;759,7;64,5;10,7;57,6;3 924,3;471,7;4 396,0;2 298,1;6 694,1;785,1;65,7;10,7;58,6;3 996,5;439,4;4 435,9;2 210,9;6 646,8;757,4;66,7;9,9;60,1;4 191,7;342,2;4 533,9;2 053,8;6 587,7;615,2;68,8;7,5;63,6;4 300,4;306,8;4 607,2;1 923,3;6 530,4;526,9;70,5;6,7;65,9;4 439,9;233,7;4 673,7;1 804,2;6 477,9;414,2;72,1;5,0;68,5;4 500,4;191,4;4 691,7;1 723,4;6 415,2;351,6;73,1;4,1;70,2;4 547,6;171,5;4 719,0;1 650,4;6 369,5;308,5;74,1;3,6;71,4;4 568,5;157,9;4 726,3;1 600,8;6 327,1;292,1;74,7;3,3;72,2;4 518,6;196,1;4 714,7;1 565,6;6 280,3;371,4;75,1;4,2;71,9;4 535,4;192,6;4 728,0;1 478,8;6 206,7;346,6;76,2;4,1;73,1
20–64;3 852,5;405,7;4 258,2;1 909,1;6 167,2;651,5;69,0;9,5;62,5;3 830,9;459,1;4 289,9;1 866,5;6 156,4;719,0;69,7;10,7;62,2;3 857,0;456,8;4 313,8;1 832,3;6 146,2;743,9;70,2;10,6;62,8;3 914,1;461,0;4 375,1;1 762,1;6 137,2;766,6;71,3;10,5;63,8;3 983,9;425,9;4 409,8;1 700,4;6 110,2;734,9;72,2;9,7;65,2;4 173,8;331,2;4 505,1;1 567,3;6 072,3;594,4;74,2;7,4;68,7;4 278,3;296,1;4 574,4;1 457,3;6 031,7;508,9;75,8;6,5;70,9;4 415,1;224,9;4 640,0;1 350,3;5 990,3;397,8;77,5;4,8;73,7;4 474,4;183,2;4 657,5;1 276,7;5 934,2;336,2;78,5;3,9;75,4;4 519,4;163,3;4 682,7;1 209,1;5 891,8;293,7;79,5;3,5;76,7;4 538,4;148,7;4 687,2;1 163,4;5 850,6;275,3;80,1;3,2;77,6;4 494,8;188,2;4 683,0;1 117,9;5 800,9;356,1;80,7;4,0;77,5;4 511,5;182,7;4 694,1;1 032,6;5 726,7;329,4;82,0;3,9;78,8
Férfiak;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15–19;7,3;7,0;14,3;284,4;298,7;11,6;4,8;49,2;2,4;6,4;6,3;12,7;283,0;295,6;10,0;4,3;49,8;2,2;6,9;5,2;12,2;280,3;292,4;10,0;4,2;43,0;2,4;6,2;7,1;13,2;271,7;285,0;11,0;4,6;53,5;2,2;7,8;8,2;16,1;258,7;274,7;14,0;5,8;51,3;2,8;10,1;7,0;17,1;247,0;264,0;12,8;6,5;40,8;3,8;15,1;5,9;21,0;234,7;255,7;10,1;8,2;28,1;5,9;15,4;5,6;21,0;229,1;250,1;10,2;8,4;26,8;6,2;15,7;4,7;20,4;226,1;246,6;9,0;8,3;23,0;6,4;17,0;5,2;22,2;222,8;244,9;8,3;9,1;23,4;6,9;20,0;5,5;25,5;218,7;244,2;10,8;10,4;21,5;8,2;14,9;4,8;19,8;226,7;246,4;9,7;8,0;24,4;6,1;15,5;6,4;21,8;224,4;246,2;10,5;8,9;29,2;6,3
20–24;115,7;40,4;156,2;159,4;315,6;57,0;49,5;25,9;36,7;114,7;40,1;154,9;157,8;312,6;55,7;49,5;25,9;36,7;111,8;38,6;150,5;159,5;310,0;55,4;48,5;25,7;36,1;112,2;41,4;153,6;159,1;312,7;58,7;49,1;26,9;35,9;127,6;38,3;165,9;146,9;312,8;58,3;53,0;23,1;40,8;141,6;30,9;172,5;137,8;310,4;46,3;55,6;17,9;45,6;142,9;29,4;172,3;134,1;306,4;43,6;56,2;17,1;46,6;157,1;20,0;177,1;121,1;298,2;32,0;59,4;11,3;52,7;160,4;14,3;174,7;113,6;288,3;24,5;60,6;8,2;55,6;158,7;13,9;172,6;107,9;280,5;21,4;61,5;8,1;56,6;150,0;17,6;167,6;106,5;274,1;25,5;61,1;10,5;54,7;144,0;16,6;160,6;103,9;264,5;28,1;60,7;10,3;54,4;140,3;14,8;155,1;103,1;258,2;23,8;60,1;9,5;54,3
25–29;262,2;37,7;300,0;45,8;345,8;51,6;86,7;12,6;75,8;241,0;42,4;283,4;44,2;327,6;58,7;86,5;14,9;73,6;235,1;33,6;268,7;41,5;310,1;50,6;86,6;12,5;75,8;228,6;39,2;267,8;38,4;306,2;54,9;87,5;14,6;74,6;233,1;32,9;266,0;39,2;305,3;47,4;87,2;12,4;76,4;252,5;24,0;276,5;30,4;306,9;38,9;90,1;8,7;82,3;256,9;22,0;278,9;29,6;308,5;33,5;90,4;7,9;83,3;262,1;17,0;279,1;31,5;310,6;26,7;89,9;6,1;84,4;270,9;11,1;282,0;29,9;312,0;19,0;90,4;3,9;86,8;272,5;10,8;283,3;30,5;313,7;17,6;90,3;3,8;86,9;270,4;13,0;283,4;31,7;315,1;19,8;89,9;4,6;85,8;266,1;16,4;282,5;31,3;313,8;27,0;90,0;5,8;84,8;259,8;14,7;274,4;30,6;305,0;24,0;90,0;5,3;85,2
30–34;332,1;30,7;362,8;25,6;388,4;46,5;93,4;8,5;85,5;321,5;36,7;358,2;26,5;384,7;52,1;93,1;10,2;83,6;326,0;29,6;355,6;25,1;380,8;45,8;93,4;8,3;85,6;311,9;34,9;346,8;21,1;367,8;49,7;94,3;10,1;84,8;293,4;30,7;324,1;23,6;347,7;45,9;93,2;9,5;84,4;290,2;20,6;310,9;17,7;328,6;31,9;94,6;6,6;88,3;278,0;16,8;294,8;19,8;314,6;29,2;93,7;5,7;88,4;279,6;13,4;293,0;15,3;308,3;20,3;95,1;4,6;90,7;278,8;11,9;290,6;13,1;303,8;19,1;95,7;4,1;91,8;281,8;10,8;292,6;12,4;305,0;16,5;95,9;3,7;92,4;288,9;7,3;296,2;14,1;310,3;12,9;95,5;2,5;93,1;289,2;9,2;298,4;16,5;314,9;15,9;94,8;3,1;91,8;286,9;9,7;296,7;18,5;315,2;17,0;94,1;3,3;91,0
35–39;321,0;28,9;350,0;31,0;381,0;43,8;91,9;8,3;84,3;327,8;33,8;361,6;30,5;392,0;51,3;92,2;9,4;83,6;340,2;36,1;376,4;26,9;403,3;54,4;93,3;9,6;84,4;351,4;37,7;389,1;27,1;416,2;57,7;93,5;9,7;84,4;367,3;29,9;397,2;27,7;424,9;48,0;93,5;7,5;86,4;377,9;23,2;401,1;21,5;422,6;38,5;94,9;5,8;89,4;368,7;18,3;387,0;20,0;407,0;30,2;95,1;4,7;90,6;351,4;16,5;367,9;18,7;386,6;26,2;95,2;4,5;90,9;337,6;12,0;349,6;16,3;365,9;21,2;95,5;3,4;92,3;320,7;11,7;332,4;15,5;347,9;19,6;95,5;3,5;92,2;309,9;7,7;317,5;15,3;332,9;14,0;95,4;2,4;93,1;292,2;10,9;303,1;19,5;322,6;20,8;94,0;3,6;90,6;289,1;9,9;299,0;15,4;314,4;18,1;95,1;3,3;92,0
40–44;274,4;27,5;301,9;38,2;340,2;43,1;88,8;9,1;80,7;275,3;30,6;305,9;39,7;345,6;45,4;88,5;10,0;79,7;280,0;31,4;311,4;39,8;351,2;49,4;88,7;10,1;79,7;293,5;28,5;322,0;34,7;356,7;45,4;90,3;8,9;82,3;299,7;28,8;328,5;30,5;359,0;45,9;91,5;8,8;83,5;321,7;20,4;342,2;23,7;365,9;33,8;93,5;6,0;87,9;345,1;16,3;361,3;21,2;382,5;27,2;94,5;4,5;90,2;365,5;14,1;379,6;21,2;400,8;22,3;94,7;3,7;91,2;382,6;11,1;393,7;19,9;413,5;18,2;95,2;2,8;92,5;390,5;10,6;401,1;22,1;423,2;17,1;94,8;2,6;92,3;393,0;9,7;402,7;20,6;423,3;16,3;95,1;2,4;92,8;379,7;12,3;392,0;18,8;410,8;20,8;95,4;3,1;92,4;362,3;10,8;373,1;16,9;390,0;18,3;95,7;2,9;92,9
45–49;243,0;25,0;268,0;54,5;322,4;41,2;83,1;9,3;75,4;235,9;25,7;261,6;47,7;309,2;41,0;84,6;9,8;76,3;230,3;25,2;255,6;40,8;296,4;42,0;86,2;9,9;77,7;237,6;22,9;260,5;38,9;299,4;39,2;87,0;8,8;79,4;251,4;22,3;273,7;38,0;311,8;40,1;87,8;8,2;80,6;273,1;16,3;289,4;35,3;324,7;32,3;89,1;5,6;84,1;288,7;16,3;305,1;32,0;337,0;28,5;90,5;5,3;85,7;303,0;11,9;314,9;32,6;347,5;21,7;90,6;3,8;87,2;315,0;9,5;324,4;28,1;352,5;18,0;92,0;2,9;89,3;321,9;7,8;329,7;25,6;355,4;15,8;92,8;2,4;90,6;328,8;9,0;337,7;27,2;365,0;15,7;92,5;2,7;90,1;343,2;11,8;355,0;27,5;382,5;20,1;92,8;3,3;89,7;364,0;9,4;373,4;25,8;399,2;17,2;93,5;2,5;91,2
50–54;218,5;17,8;236,3;73,3;309,6;30,2;76,3;7,5;70,6;213,8;23,5;237,4;72,3;309,7;37,3;76,7;9,9;69,1;220,2;23,5;243,7;65,7;309,4;41,4;78,8;9,6;71,2;220,0;24,4;244,4;56,5;300,8;41,5;81,2;10,0;73,1;216,1;20,8;236,8;54,3;291,1;39,1;81,4;8,8;74,2;219,3;16,2;235,5;49,8;285,3;31,4;82,5;6,9;76,9;227,6;14,6;242,2;40,4;282,6;26,3;85,7;6,0;80,5;234,6;12,0;246,5;36,1;282,7;21,8;87,2;4,9;83,0;250,2;9,3;259,5;29,5;289,1;15,5;89,8;3,6;86,6;262,7;8,0;270,7;31,0;301,7;14,1;89,7;3,0;87,1;282,2;6,3;288,6;27,2;315,8;12,0;91,4;2,2;89,4;292,6;8,5;301,1;28,1;329,2;16,7;91,5;2,8;88,9;303,3;9,6;312,9;25,8;338,6;16,1;92,4;3,1;89,6
55–59;188,7;15,1;203,8;132,3;336,1;26,3;60,6;7,4;56,1;194,6;20,3;214,9;130,7;345,6;32,8;62,2;9,5;56,3;202,0;25,3;227,3;127,7;355,0;41,0;64,0;11,1;56,9;218,4;21,9;240,3;116,4;356,7;40,8;67,4;9,1;61,2;226,6;22,5;249,0;99,8;348,8;39,5;71,4;9,0;65,0;234,1;14,6;248,7;82,8;331,4;29,1;75,0;5,9;70,6;229,8;12,5;242,2;68,5;310,7;23,5;77,9;5,1;73,9;223,9;8,3;232,2;61,8;294,0;17,2;79,0;3,6;76,2;217,8;6,0;223,8;57,2;281,0;12,9;79,6;2,7;77,5;219,6;5,1;224,7;47,8;272,5;11,6;82,5;2,3;80,6;216,4;5,6;222,0;46,3;268,3;12,0;82,7;2,5;80,6;214,7;7,9;222,6;44,2;266,7;13,6;83,4;3,6;80,5;221,8;8,7;230,5;36,1;266,6;14,8;86,5;3,8;83,2
60–64;44,6;...;46,1;220,5;266,6;5,5;17,3;3,3;16,7;45,5;2,1;47,5;228,7;276,2;7,0;17,2;4,4;16,5;49,9;2,8;52,7;233,1;285,8;8,0;18,4;5,3;17,4;49,5;3,9;53,4;237,3;290,7;10,8;18,4;7,2;17,0;62,3;4,6;66,9;229,1;296,0;13,5;22,6;6,9;21,1;82,5;8,2;90,7;216,1;306,8;19,8;29,6;9,1;26,9;112,2;9,2;121,4;196,5;317,9;17,4;38,2;7,6;35,3;144,9;8,4;153,3;170,9;324,2;14,4;47,3;5,5;44,7;160,8;5,9;166,7;157,5;324,2;12,2;51,4;3,5;49,6;166,1;4,1;170,2;146,2;316,4;8,8;53,8;2,4;52,5;176,3;3,7;180,0;120,8;300,9;8,7;59,8;2,1;58,6;179,4;5,0;184,4;99,0;283,4;10,2;65,1;2,7;63,3;174,2;4,5;178,7;88,9;267,6;10,2;66,8;2,5;65,1
65–69;14,6;...;14,7;198,5;213,2;2,0;6,9;...;6,9;14,1;...;14,1;201,3;215,5;1,4;6,6;...;6,5;15,8;...;15,9;201,8;217,7;1,2;7,3;...;7,3;15,9;...;16,1;204,1;220,2;1,6;7,3;...;7,2;14,4;...;14,5;211,0;225,5;2,9;6,4;...;6,4;12,8;...;13,1;217,8;231,0;2,0;5,7;...;5,5;13,5;...;14,2;224,4;238,5;2,3;5,9;...;5,7;17,0;...;17,2;231,6;248,8;1,4;6,9;...;6,8;20,3;...;20,4;233,4;253,7;2,1;8,0;...;8,0;25,8;...;25,9;231,8;257,7;2,2;10,0;...;10,0;32,8;...;33,4;233,3;266,7;2,6;12,5;...;12,3;33,9;0,7;34,7;242,1;276,8;2,5;12,5;2,1;12,3;41,1;1,1;42,2;237,9;280,1;2,4;15,1;2,6;14,7
70–74;3,9;...;3,9;155,4;159,3;0,2;2,5;...;2,5;3,4;...;3,6;155,9;159,5;0,3;2,2;...;2,2;4,4;...;4,4;155,4;159,8;0,4;2,8;...;2,7;4,3;...;4,3;159,6;163,9;0,6;2,6;...;2,6;4,8;...;4,9;165,1;170,0;0,9;2,9;...;2,9;5,0;...;5,0;171,2;176,2;0,4;2,8;...;2,8;5,7;...;5,7;174,2;179,9;1,0;3,2;...;3,2;8,1;...;8,1;172,0;180,1;0,9;4,5;...;4,5;7,3;...;7,3;174,6;181,9;0,6;4,0;...;4,0;8,9;...;8,9;177,0;185,9;0,7;4,8;...;4,8;11,4;...;11,6;178,4;190,0;0,6;6,1;...;6,0;12,2;...;12,2;184,6;196,7;0,5;6,2;...;6,2;13,6;0,3;13,9;188,7;202,6;1,0;6,9;2,0;6,7
Összesen;2 026,0;231,8;2 257,8;1 418,9;3 676,7;359,0;61,4;10,3;55,1;1 993,9;261,7;2 255,7;1 418,2;3 673,9;392,9;61,4;11,6;54,3;2 022,7;251,5;2 274,1;1 397,7;3 671,9;399,5;61,9;11,1;55,1;2 049,4;262,1;2 311,5;1 364,8;3 676,3;411,8;62,9;11,3;55,7;2 104,6;239,3;2 343,9;1 323,8;3 667,7;395,5;63,9;10,2;57,4;2 220,9;181,7;2 402,6;1 251,2;3 653,8;317,0;65,8;7,6;60,8;2 284,1;161,9;2 446,0;1 195,3;3 641,3;272,7;67,2;6,6;62,7;2 362,7;127,5;2 490,2;1 141,8;3 632,0;215,1;68,6;5,1;65,1;2 417,4;95,7;2 513,2;1 099,4;3 612,5;172,1;69,6;3,8;66,9;2 446,2;88,1;2 534,4;1 070,4;3 604,8;153,8;70,3;3,5;67,9;2 480,1;86,1;2 566,2;1 040,3;3 606,4;150,8;71,2;3,4;68,8;2 462,1;104,2;2 566,3;1 042,1;3 608,4;185,9;71,1;4,1;68,2;2 471,8;99,9;2 571,7;1 012,0;3 583,7;173,2;71,8;3,9;69,0
15–24;123,0;47,5;170,4;443,8;614,3;68,6;27,7;27,8;20,0;121,1;46,5;167,5;440,7;608,3;65,7;27,5;27,7;19,9;118,8;43,9;162,6;439,8;602,4;65,4;27,0;27,0;19,7;118,4;48,5;166,9;430,8;597,7;69,7;27,9;29,1;19,8;135,4;46,6;182,0;405,5;587,5;72,2;31,0;25,6;23,0;151,7;37,9;189,6;384,8;574,4;59,0;33,0;20,0;26,4;157,9;35,3;193,3;368,8;562,1;53,7;34,4;18,3;28,1;172,5;25,6;198,2;350,2;548,4;42,2;36,1;12,9;31,5;176,2;18,9;195,1;339,8;534,9;33,5;36,5;9,7;32,9;175,7;19,1;194,8;330,7;525,5;29,8;37,1;9,8;33,4;170,0;23,1;193,1;325,3;518,3;36,3;37,2;11,9;32,8;158,9;21,4;180,3;330,6;511,0;37,8;35,3;11,9;31,1;155,8;21,2;176,9;327,5;504,4;34,3;35,1;12,0;30,9
15–64;2 007,4;231,8;2 239,2;1 065,0;3 304,2;356,7;67,8;10,4;60,8;1 976,4;261,6;2 238,0;1 061,0;3 298,9;391,2;67,8;11,7;59,9;2 002,5;251,4;2 253,9;1 040,5;3 294,4;398,0;68,4;11,2;60,8;2 029,3;261,8;2 291,1;1 001,1;3 292,2;409,6;69,6;11,4;61,6;2 085,4;239,0;2 324,4;947,7;3 272,1;391,7;71,0;10,3;63,7;2 203,1;181,4;2 384,5;862,2;3 246,7;314,6;73,4;7,6;67,9;2 264,9;161,3;2 426,2;796,7;3 222,9;269,4;75,3;6,6;70,3;2 337,5;127,3;2 464,8;738,2;3 203,1;212,8;77,0;5,2;73,0;2 389,8;95,7;2 485,5;691,4;3 176,9;169,5;78,2;3,8;75,2;2 411,6;88,0;2 499,6;661,6;3 161,2;150,9;79,1;3,5;76,3;2 435,9;85,4;2 521,2;628,5;3 149,7;147,6;80,0;3,4;77,3;2 416,0;103,5;2 519,5;615,4;3 134,9;182,8;80,4;4,1;77,1;2 417,1;98,5;2 515,6;585,4;3 101,0;169,8;81,1;3,9;77,9
