20.2.2.5. A foglalkoztatottak száma foglalkoztatásuk jellege szerint, régiónként, negyedévente [ezer fõ];;;;;;;;;;
Év;Negyedév;Budapest;Pest;Közép-Dunántúl;Nyugat-Dunántúl;Dél-Dunántúl;Észak-Magyarország;Észak-Alföld;Dél-Alföld;Összesen
Alkalmazott;;;;;;;;;;
;IV.;141,7;90,5;45,2;49,5;30,9;37,2;52,0;61,3;508,4
2020.;I.;135,0;91,1;49,1;55,2;35,0;40,0;54,3;57,3;517,0
;II.;135,8;95,1;51,6;56,1;37,4;38,6;58,2;55,6;528,4
;III.;127,0;89,6;52,1;54,4;43,8;40,0;61,2;62,5;530,6
;IV.;130,5;93,6;56,0;56,5;42,2;43,3;66,2;63,1;551,5
2021.;I.;121,3;89,2;57,3;58,5;44,0;42,8;64,9;68,3;546,3
;II.;123,4;97,6;53,9;59,4;43,9;44,5;64,8;70,9;558,4
;III.;125,4;100,7;57,2;59,7;43,9;47,7;64,9;72,3;571,8
;IV.;130,4;98,5;56,3;56,8;42,9;50,4;66,1;71,9;573,3
2022.;I.;137,9;91,9;58,7;52,5;43,6;49,2;64,6;71,0;569,6
;II.;131,4;97,4;58,5;53,6;41,3;55,0;60,2;72,6;569,8
;III.;140,1;93,2;56,8;57,5;38,7;55,2;63,0;71,6;576,1
;IV.;;;;;;;;;
Összesen;;;;;;;;;;
2009.;I.;768,2;504,8;451,3;421,4;336,7;407,6;497,1;483,0;3 870,2
;II.;766,4;507,7;453,6;419,5;342,7;412,6;513,0;487,6;3 903,2
;III.;762,0;500,8;444,0;420,1;348,0;408,1;514,0;495,2;3 892,2
;IV.;763,8;501,0;444,1;417,2;346,8;408,6;511,6;491,6;3 884,9
2010.;I.;747,5;499,6;437,4;412,7;338,0;399,1;496,9;483,6;3 814,6
;II.;746,3;499,7;440,0;412,6;350,3;403,8;516,7;495,3;3 864,7
;III.;741,9;500,8;451,6;413,5;353,0;405,9;529,6;506,1;3 902,4
;IV.;742,3;501,7;452,7;417,8;343,4;406,5;526,5;498,8;3 889,6
2011.;I.;744,9;503,0;453,6;415,9;332,3;391,8;498,0;486,1;3 825,7
;II.;750,1;507,6;458,0;420,8;342,8;401,0;523,9;491,7;3 896,0
;III.;755,9;507,7;463,3;426,4;338,9;407,7;537,8;500,4;3 938,0
;IV.;756,0;509,4;461,2;428,7;336,8;408,2;535,3;495,6;3 931,1
2012.;I.;760,0;513,5;448,2;419,7;323,5;398,0;517,1;484,1;3 864,0
;II.;764,7;507,9;456,8;431,5;336,8;405,6;541,8;500,4;3 945,6
;III.;789,4;512,2;459,8;437,2;345,2;407,0;553,3;511,8;4 015,9
;IV.;787,6;514,4;459,7;425,3;345,0;405,5;544,8;508,8;3 991,1
2013.;I.;788,6;508,8;449,4;421,4;331,3;399,3;514,5;487,7;3 901,1
;II.;789,1;521,9;459,2;431,0;352,1;413,4;550,0;506,6;4 023,3
;III.;782,3;528,3;469,0;438,1;357,6;423,1;567,8;510,4;4 076,7
;IV.;775,3;541,7;468,9;444,7;354,7;432,6;571,4;508,9;4 098,2
2014.;I.;795,6;543,3;468,6;457,2;352,8;429,1;570,2;500,7;4 117,6
;II.;806,0;546,6;483,3;457,6;361,3;432,4;574,4;521,8;4 183,3
;III.;816,0;552,0;490,3;459,6;372,6;444,0;593,6;535,6;4 263,8
;IV.;814,6;547,0;488,8;454,4;364,4;450,8;601,4;530,7;4 252,1
2015.;I.;818,5;543,7;491,3;450,3;362,5;445,0;578,7;526,3;4 216,1
;II.;820,2;563,5;497,6;463,0;373,3;464,9;600,7;533,6;4 316,8
;III.;839,5;565,8;507,9;466,1;372,6;469,0;612,7;550,1;4 383,8
;IV.;850,0;570,5;503,8;467,8;367,7;466,3;610,8;547,0;4 383,9
2016.;I.;852,8;575,1;497,5;466,1;370,7;467,5;603,1;550,4;4 383,2
;II.;866,1;581,0;503,0;468,0;380,1;480,8;623,9;566,8;4 469,7
;III.;881,1;587,0;506,4;479,2;381,9;479,2;632,6;566,7;4 514,3
;IV.;877,6;592,9;509,4;477,1;383,0;480,7;640,3;572,8;4 533,9
2017.;I.;866,2;590,1;512,6;476,6;376,7;475,2;630,2;566,8;4 494,3
;II.;870,4;590,0;519,0;483,0;377,2;485,8;643,1;570,7;4 539,1
;III.;880,5;598,7;519,4;486,8;379,7;488,0;649,1;571,0;4 573,2
;IV.;875,1;610,3;512,7;490,6;376,5;487,2;654,0;571,0;4 577,5
2018.;I.;858,3;619,3;513,0;499,8;369,7;485,9;650,7;570,9;4 567,6
;II.;867,5;611,4;517,4;499,0;381,4;496,4;658,7;572,5;4 604,2
;III.;865,0;614,8;521,6;492,3;391,0;501,4;657,3;579,9;4 623,4
;IV.;862,6;626,7;513,2;493,2;384,3;496,7;658,5;581,7;4 617,0
2019.;I.;869,5;628,1;518,6;493,4;384,5;494,1;657,0;580,5;4 625,7
;II.;867,0;631,1;519,8;503,8;382,1;494,8;662,0;576,2;4 636,8
;III.;873,2;639,7;522,3;504,9;382,5;494,8;654,0;577,7;4 649,1
;IV.;882,5;644,2;517,4;505,8;374,4;497,6;650,8;573,3;4 646,0
2020.;I.;877,8;641,3;516,4;503,8;363,5;486,9;640,1;572,5;4 602,4
;II.;875,4;640,9;511,7;486,2;372,4;483,9;632,9;547,9;4 551,4
;III.;880,6;642,1;522,0;499,9;379,5;481,0;646,3;572,6;4 623,9
;IV.;874,4;651,2;526,4;500,4;377,7;481,2;641,7;566,5;4 619,4
2021.;I.;855,1;646,0;525,4;490,8;371,9;471,6;634,1;572,8;4 567,6
;II.;871,3;655,7;522,0;498,2;377,5;478,4;644,5;571,6;4 619,2
;III.;875,0;661,8;526,9;508,2;380,1;484,0;655,1;572,4;4 663,4
;IV.;888,6;670,3;530,6;512,0;380,7;481,0;649,6;575,0;4 687,9
2022.;I.;894,1;663,3;532,5;504,5;380,9;480,5;647,4;571,0;4 674,3
;II.;886,8;672,7;534,3;500,3;383,2;486,4;653,9;575,7;4 693,2
;III.;887,7;674,0;536,5;504,5;386,2;495,3;658,7;569,4;4 712,2
;IV.;;;;;;;;;
Nem besorolt;;;;;;;;;;
2009.;I.;0,0;0,8;0,7;1,0;0,7;0,7;1,5;1,5;6,8
;II.;0,9;1,1;0,8;0,7;0,8;0,7;0,9;1,4;7,2
;III.;1,6;0,8;1,1;0,5;0,6;0,5;0,8;1,4;7,2
;IV.;1,1;1,3;1,0;0,0;0,4;0,3;0,8;1,3;6,2
2010.;I.;2,4;1,6;1,0;0,2;0,2;0,4;0,3;1,0;7,1
;II.;1,5;0,5;1,3;0,7;0,5;0,6;0,3;0,7;6,2
;III.;0,7;1,1;1,1;1,1;0,4;0,5;0,1;0,4;5,4
;IV.;1,0;0,8;1,2;1,0;0,2;0,6;0,2;0,2;5,1
2011.;I.;1,0;1,1;0,7;1,0;0,5;0,6;0,8;0,6;6,3
;II.;0,9;1,0;0,4;0,7;0,2;0,5;0,5;0,7;4,9
;III.;1,0;0,9;0,3;0,5;0,2;0,4;0,3;0,6;4,3
;IV.;1,7;1,5;0,4;0,7;0,2;0,1;0,2;1,1;5,8
2012.;I.;1,0;1,5;0,7;0,9;0,1;0,7;0,1;1,3;6,4
;II.;0,7;0,8;0,5;0,6;0,3;0,7;0,0;1,2;4,7
;III.;0,0;0,6;0,0;0,4;1,0;0,5;0,3;0,8;3,7
;IV.;0,2;1,4;0,3;0,3;0,3;0,2;0,1;0,8;3,5
2013.;I.;1,0;1,6;0,6;0,2;0,4;0,3;0,2;1,2;5,5
;II.;1,5;1,5;0,8;0,1;0,4;0,3;0,1;0,3;5,0
;III.;1,6;1,2;0,3;0,1;0,6;0,2;0,5;0,6;5,0
;IV.;0,3;0,9;0,2;0,0;0,0;0,1;0,2;0,6;2,3
2014.;I.;1,7;1,5;2,5;2,6;8,0;13,2;12,7;5,4;47,5
;II.;0,9;0,8;0,9;1,0;2,5;3,4;2,9;0,7;13,0
;III.;0,6;0,3;1,0;0,6;0,3;1,1;1,4;1,0;6,3
;IV.;0,8;0,4;1,1;0,1;1,0;1,1;1,9;0,5;6,7
2015.;I.;1,5;1,3;1,3;1,2;1,1;3,6;7,2;2,5;19,7
;II.;0,9;0,5;0,3;0,9;0,3;1,8;1,9;0,5;7,2
;III.;1,5;0,1;0,4;0,3;0,0;1,7;2,3;0,2;6,6
;IV.;1,2;0,0;0,2;0,3;0,2;1,4;2,4;0,5;6,3
2016.;I.;1,3;0,6;0,7;0,2;0,4;1,6;1,9;0,7;7,3
;II.;0,8;0,5;0,4;1,9;1,3;0,1;1,0;0,8;6,7
;III.;0,8;0,8;0,2;0,8;0,5;0,3;2,3;1,0;6,8
;IV.;0,9;0,7;0,3;1,2;0,5;0,7;1,7;1,0;7,0
2017.;I.;1,2;1,0;0,2;0,8;0,0;0,0;0,0;0,3;3,6
;II.;0,0;0,3;0,5;0,5;0,0;0,0;0,0;0,5;1,9
;III.;0,3;0,6;0,5;0,5;0,0;0,0;0,0;0,1;1,9
;IV.;0,4;0,5;0,4;0,2;0,0;0,0;0,0;0,3;1,8
2018.;I.;0,3;0,3;0,5;0,4;0,3;0,0;1,0;0,1;3,0
;II.;0,2;0,4;0,4;0,5;0,6;0,0;0,5;0,0;2,7
;III.;0,0;1,4;0,9;1,0;0,2;0,0;0,6;0,0;4,0
;IV.;0,0;1,3;1,1;0,7;0,1;0,0;0,4;0,0;3,6
2019.;I.;0,0;1,4;1,3;1,1;0,7;0,1;0,6;0,1;5,3
;II.;1,8;0,8;0,8;1,3;0,8;0,1;0,7;0,0;6,3
;III.;1,8;0,9;0,2;1,3;0,2;0,1;0,5;0,2;5,1
