5.1.1.15. Bizalom nem, korcsoport, iskolai végzettség, családi állapot és jövedelmi ötöd szerint;;;;;;;;;;;;;;;;;;;;;;;;
Megnevezés;Nemek szerint: férfiak átlaga;Nemek szerint: nõk átlaga;Nemek szerint: együttes átlag;Korcsoportok szerint: 16–24 évesek átlaga;Korcsoportok szerint: 25–34 évesek átlaga;Korcsoportok szerint: 35–44 évesek átlaga;Korcsoportok szerint: 45–54 évesek átlaga;Korcsoportok szerint: 55–64 évesek átlaga;Korcsoportok szerint: 65–74 évesek átlaga;Korcsoportok szerint: 75 évesek vagy idõsebbek átlaga;Iskolai végzettség szerint: legfeljebb alapfokú végzettségûek átlaga;Iskolai végzettség szerint: középfokú, érettségi nélküli végzettségûek átlaga;Iskolai végzettség szerint: középfokú, érettségivel végzettségûek átlaga;Iskolai végzettség szerint: felsõfokú végzettségûek átlaga;Családi állapot szerint: nõtlenek, hajadonok átlaga;Családi állapot szerint: házas, házastársával együtt élõk átlaga;Családi állapot szerint: házas, házastársával nem együtt élõk átlaga;Családi állapot szerint: özvegyek átlaga;Családi állapot szerint: elváltak átlaga;Az 1. jövedelmi ötödbe tartozók átlaga;A 2. jövedelmi ötödbe tartozók átlaga;A 3. jövedelmi ötödbe tartozók átlaga;A 4. jövedelmi ötödbe tartozók átlaga;Az 5. jövedelmi ötödbe tartozók átlaga
Mennyire bízik meg Ön személy szerint a politikai rendszerben?;4,4;4,4;4,4;4,6;4,4;4,2;4,3;4,3;4,5;4,6;4,3;4,3;4,4;4,7;4,3;4,5;4,7;4,3;4,1;3,9;4,3;4,4;4,5;4,6
Mennyire bízik meg Ön személy szerint a jogrendszerben?;5,2;5,3;5,3;5,5;5,4;5,2;5,2;5,2;5,3;5,3;5,0;5,2;5,3;5,7;5,2;5,4;5,7;5,2;5,0;4,6;5,2;5,4;5,4;5,6
Mennyire bízik meg Ön személy szerint a rendõrségben?;5,9;6,1;6,0;6,1;6,0;5,9;5,9;5,9;6,1;6,3;5,8;5,9;6,1;6,3;5,9;6,1;6,2;6,0;5,8;5,4;6,0;6,1;6,1;6,3
2020;;;;;;;;;;;;;;;;;;;;;;;;
Elmondható-e Ön szerint, hogy a legtöbb emberben meg lehet bízni?;5,1;5,1;5,1;5,6;5,2;5,0;5,1;5,1;5,0;5,0;4,8;5,0;5,1;5,6;5,1;5,2;5,0;5,0;5,0;4,8;5,1;5,0;5,3;5,3
Mennyire bízik meg Ön személy szerint a politikai rendszerben?;4,7;4,7;4,7;5,2;4,5;4,7;4,6;4,6;4,6;4,9;4,4;4,5;4,7;5,1;4,6;4,9;4,4;4,5;4,3;4,3;4,6;4,6;4,7;5,0
Mennyire bízik meg Ön személy szerint a jogrendszerben?;5,2;5,3;5,3;5,7;5,3;5,3;5,3;5,2;5,1;5,3;5,1;5,1;5,3;5,6;5,2;5,4;5,2;5,1;5,0;4,9;5,2;5,2;5,4;5,6
Mennyire bízik meg Ön személy szerint a rendõrségben?;6,1;6,2;6,1;6,5;5,9;6,1;6,0;6,1;6,1;6,5;5,9;6,0;6,2;6,4;6,0;6,3;6,3;6,1;6,0;5,8;6,1;6,1;6,2;6,5
2021;;;;;;;;;;;;;;;;;;;;;;;;
Elmondható-e Ön szerint, hogy a legtöbb emberben meg lehet bízni?;5,1;5,1;5,1;5,2;5,2;5,0;5,0;5,0;5,1;5,0;4,8;4,9;5,0;5,4;5,1;5,1;4,8;5,0;5,0;4,6;5,0;5,1;5,2;5,3
Mennyire bízik meg Ön személy szerint a politikai rendszerben?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Mennyire bízik meg Ön személy szerint a jogrendszerben?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Mennyire bízik meg Ön személy szerint a rendõrségben?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
2022;;;;;;;;;;;;;;;;;;;;;;;;
Elmondható-e Ön szerint, hogy a legtöbb emberben meg lehet bízni?;5,3;5,3;5,3;5,6;5,3;5,2;5,3;5,3;5,2;5,3;5,0;5,0;5,3;5,6;5,3;5,4;5,0;5,1;5,1;4,8;5,3;5,2;5,3;5,5
Mennyire bízik meg Ön személy szerint a politikai rendszerben?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Mennyire bízik meg Ön személy szerint a jogrendszerben?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
Mennyire bízik meg Ön személy szerint a rendõrségben?;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
