21.1.1.3. Az egy fõre jutó reáljövedelem és fogyasztás indexének hosszú idõsora;;
Év;"Egy fõre jutó reáljövedelem indexe, 
1960 = 100%";"Egy fõre jutó fogyasztás indexe, 
1960 = 100%"
1960;100;100
1961;101;101
1962;105;104
1963;110;109
1964;117;114
1965;118;115
1966;123;121
1967;132;128
1968;140;134
1969;148;140
1970;159;150
1971;166;157
1972;171;162
1973;179;168
1974;191;177
1975;199;185
1976;200;188
1977;210;195
1978;216;202
1979;216;206
1980;216;208
1981;223;213
1982;225;216
1983;228;217
1984;231;220
1985;236;225
1986;242;230
1987;244;238
1988;242;238
1989;250;251
1990;245;238
1991;241;216
1992;232;216
1993;221;220
1994;227;220
1995;215;205
1996;209;201
1997;209;203
1998;213;211
1999;215;224
2000;219;233
2001;232;245
2002;246;265
2003;261;286
2004;274;292
2005;288;301
2006;291;307
2007;276;304
2008;270;301
2009;259;286
2010;256;283
2011;266;286
2012;258;280
2013;263;280
2014;274;286
2015;282;297
2016;293;309
2017;311;324
2018;336;337
2019;353;354
2020;346;347
2021;374;364
